User_Name,followers_Count,Likes,Retweets,Reply,Impression,Text,Label,hashtags,Lemma,Porterstemmer,Snowballstemmer
The Sole Supplier,268336,4,0,0,10480,"RELEASE REMINDER | Launching in 1 hour 

AMBUSH x Nike Air Force 1 

Black &gt; https://t.co/W52mkXm9wc
Phantom &gt; https://t.co/nrq6f1qqSF https://t.co/BjPTQ6S6kB",Nike,,release reminder launching hour ambush x nike air force black gt phantom gt,releas remind launch hour ambush x nike air forc black gt phantom gt,releas remind launch hour ambush x nike air forc black gt phantom gt
British GQ,340103,2,0,0,4757,"Sending sneakerheads green.

https://t.co/f86tyvZC6P",Nike,,sending sneakerheads green,send sneakerhead green,send sneakerhead green
Kicks Deals,473845,6,0,1,22239,"OVER 50% OFF savings are active for the anthracite/mint foam Jordan Delta 3 Low at $59.23 + FREE shipping.

BUY HERE -&gt; https://t.co/rcv26nOLGD (promotion - use code WOMEN25 at checkout) https://t.co/BEluX0AUj8",Nike,,saving active anthracite mint foam jordan delta low free shipping buy gt promotion use code checkout,save activ anthracit mint foam jordan delta low free ship buy gt promot use code checkout,save activ anthracit mint foam jordan delta low free ship buy gt promot use code checkout
Sneaker Steal,329542,5,3,0,11451,"Nike Sportswear Club Fleece Pullover Hoodie $45.00 Free Shipping

https://t.co/jX2YOCGev1",Nike,,nike sportswear club fleece pullover hoodie free shipping,nike sportswear club fleec pullov hoodi free ship,nike sportswear club fleec pullov hoodi free ship
Sneaker Steal,329542,18,3,0,12459,"STEAL💥

Nike Sportswear Club Fleece Pullover Hoodie 

$45.00 + Free Shipping

https://t.co/ADoqmT3vhT

*use code WOMEN25 at checkout* https://t.co/ii4TRpBeCe",Nike,,steal nike sportswear club fleece pullover hoodie free shipping use code checkout,steal nike sportswear club fleec pullov hoodi free ship use code checkout,steal nike sportswear club fleec pullov hoodi free ship use code checkout
The Source Magazine,799430,0,2,0,1967,"Nike Responds to Kool Kiy’s Counterclaim, Labels Designer a ‘Serial Copyist’ https://t.co/HaakxByYeO",Nike,,nike responds kool kiys counterclaim label designer serial copyist,nike respond kool kiy counterclaim label design serial copyist,nike respond kool kiy counterclaim label design serial copyist
Kicks Deals,473845,12,0,0,18674,"Select Nike Sportswear Fleece Joggers are available for $41.25 each + FREE shipping.

Grey Heather -&gt; https://t.co/Br1ALMz4hq

Charcoal Heather -&gt; https://t.co/aUybe1yo6V

💥 Use #promotion code WOMEN25 at checkout. https://t.co/6dD3qWWA3l",Nike,promotion,select nike sportswear fleece jogger available free shipping grey heather gt charcoal heather gt use code checkout,select nike sportswear fleec jogger avail free ship grey heather gt charcoal heather gt use code checkout,select nike sportswear fleec jogger avail free ship grey heather gt charcoal heather gt use code checkout
Kicks Deals,473845,11,1,1,19649,"🏀 Size options under 12 for the ""Beyond Borders"" Air Jordan 37 are $100 OFF retail at $83.98 + FREE shipping.

BUY HERE -&gt; https://t.co/lTiN4zAzAj (promotion - use code WOMEN25 at checkout) https://t.co/Kmpx5SzvNP",Nike,,size option beyond border air jordan retail free shipping buy gt promotion use code checkout,size option beyond border air jordan retail free ship buy gt promot use code checkout,size option beyond border air jordan retail free ship buy gt promot use code checkout
WEAR ABC 3,87831,18,1,0,1722,"It's not often you see a 13-year-old track athlete competing, and often beating, competition much older than they are. Beulah Middle School's Zamari Purifoy has been doing it, and will attempt to do it again this weekend on the world stage. -- https://t.co/fGmURm0tfQ https://t.co/TEFzXUNePh",Nike,,often see year old track athlete competing often beating competition much older beulah middle school zamari purifoy attempt weekend world stage,often see year old track athlet compet often beat competit much older beulah middl school zamari purifoy attempt weekend world stage,often see year old track athlet compet often beat competit much older beulah middl school zamari purifoy attempt weekend world stage
Kicks Deals,473845,11,0,0,19270,"The ""Triple Black"" Air Jordan 1 Low is available in select size options for $82.50 + FREE shipping.

BUY HERE -&gt; https://t.co/rSWiHR0VPh (promotion - use code WOMEN25 at checkout) https://t.co/0gLnCcnLYh",Nike,,triple black air jordan low available select size option free shipping buy gt promotion use code checkout,tripl black air jordan low avail select size option free ship buy gt promot use code checkout,tripl black air jordan low avail select size option free ship buy gt promot use code checkout
The Chainsaw,50329,10,5,3,644,"Want to know how to mint an #NFT and then sell it or trade it on an #NFTMarketplace? 

#NFTs are being used by companies like @Nike and @gucci!  

Find out what it is all about. Here's everything you need to know.

#news 🚨
Link below👇 https://t.co/Ll8QrveiXm",Nike,nft nftmarketplace nfts news,want know mint sell trade used company like find everything need know link,want know mint sell trade use compani like find everyth need know link,want know mint sell trade use compani like find everyth need know link
Sneaker Freaker,315526,5,0,0,5049,Are you ready to RTW? https://t.co/Y2Sw8WPfuS,Nike,,ready rtw,readi rtw,readi rtw
Kicks Deals,473845,16,3,0,19820,"You can SAVE $35 on the arctic orange/summit white Nike WMNS Dunk High 1985 at $105 + FREE shipping.

BUY HERE -&gt; https://t.co/Y42DLzbk6K (promotion - use code WOMEN25 at checkout) https://t.co/EuSDp1sntk",Nike,,save arctic orange summit white nike wmns dunk high free shipping buy gt promotion use code checkout,save arctic orang summit white nike wmn dunk high free ship buy gt promot use code checkout,save arctic orang summit white nike wmns dunk high free ship buy gt promot use code checkout
NBC DFW,528651,9,1,0,2894,West Mesquite High School Girls Track Member Headed to Nike Indoor Nationals in New York https://t.co/DHvJ6oYyQy,Nike,,west mesquite high school girl track member headed nike indoor national new york,west mesquit high school girl track member head nike indoor nation new york,west mesquit high school girl track member head nike indoor nation new york
Vogue Philippines,2845,1,1,0,273,"From Jacquemus x Nike to Palace x Gucci, mash-ups are leading to new ways of thinking, proving that partnerships are here to stay. 

https://t.co/gGCNSFG9gG",Nike,,jacquemus x nike palace x gucci mash ups leading new way thinking proving partnership stay,jacquemu x nike palac x gucci mash up lead new way think prove partnership stay,jacquemus x nike palac x gucci mash up lead new way think prove partnership stay
